Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2020,12,1 ,s/p,s/p,s/p,s/p,s/p,s/p
2020,12,2 ,s/p,s/p,s/p,s/p,s/p,s/p
2020,12,3 ,s/p,s/p,s/p,s/p,s/p,s/p
2020,12,4 ,s/p,s/p,s/p,s/p,s/p,s/p
2020,12,5 ,s/p,s/p,s/p,s/p,s/p,s/p
2020,12,6 ,s/p,s/p,s/p,s/p,s/p,s/p
2020,12,7 ,s/p,s/p,0.4,s/p,0.4,0.4
2020,12,8 ,0.1,s/p,s/p,0.1,0.2,0.6
2020,12,9 ,,s/p,s/p,s/p,s/p,0.6
2020,12,10 ,3.5,2.0,0.2,s/p,5.7,6.3
2020,12,11 ,0.5,4.3,5.1,11.9,21.8,28.1
2020,12,12 ,s/p,2.5,s/p,0.1,2.6,30.7
2020,12,13 ,s/p,s/p,s/p,11.7,11.7,42.4
2020,12,14 ,0.3,s/p,s/p,s/p,0.3,42.7
2020,12,15 ,s/p,s/p,s/p,s/p,s/p,42.7
2020,12,16 ,s/p,s/p,s/p,s/p,s/p,42.7
2020,12,17 ,s/p,s/p,s/p,s/p,s/p,42.7
2020,12,18 ,s/p,s/p,s/p,0.3,0.3,43.0
2020,12,19 ,0.4,0.2,s/p,s/p,0.6,43.6
2020,12,20 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,21 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,22 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,23 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,24 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,25 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,26 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,27 ,s/p,s/p,s/p,s/p,s/p,43.6
2020,12,28 ,s/p,s/p,s/p,0.2,0.2,43.8
2020,12,29 ,9.5,0.3,s/p,s/p,9.8,53.6
2020,12,30 ,s/p,s/p,s/p,s/p,s/p,53.6
2020,12,31 ,s/p,s/p,s/p,s/p,s/p,53.6
