Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2019,10,1 ,s/p,0.7,0.5,0.1,1.3,1.3
2019,10,2 ,s/p,s/p,s/p,s/p,s/p,1.3
2019,10,3 ,s/p,s/p,s/p,s/p,s/p,1.3
2019,10,4 ,s/p,s/p,,0.1,0.1,1.4
2019,10,5 ,s/p,s/p,s/p,0.1,0.1,1.5
2019,10,6 ,s/p,s/p,s/p,0.1,0.1,1.6
2019,10,7 ,s/p,s/p,s/p,s/p,s/p,1.6
2019,10,8 ,s/p,s/p,s/p,s/p,s/p,1.6
2019,10,9 ,s/p,s/p,s/p,0.1,0.1,1.7
2019,10,10 ,s/p,s/p,s/p,0.1,0.1,1.8
2019,10,11 ,s/p,s/p,s/p,s/p,s/p,1.8
2019,10,12 ,s/p,s/p,s/p,s/p,s/p,1.8
2019,10,13 ,s/p,s/p,s/p,s/p,s/p,1.8
2019,10,14 ,s/p,9.7,s/p,s/p,9.7,11.5
2019,10,15 ,s/p,s/p,s/p,s/p,s/p,11.5
2019,10,16 ,s/p,s/p,s/p,s/p,s/p,11.5
2019,10,17 ,s/p,s/p,s/p,s/p,s/p,11.5
2019,10,18 ,s/p,s/p,s/p,s/p,s/p,11.5
2019,10,19 ,s/p,s/p,s/p,s/p,s/p,11.5
2019,10,20 ,s/p,s/p,s/p,s/p,s/p,11.5
2019,10,21 ,s/p,s/p,s/p,s/p,s/p,11.5
2019,10,22 ,s/p,s/p,s/p,0.1,0.1,11.6
2019,10,23 ,s/p,s/p,s/p,s/p,s/p,11.6
2019,10,24 ,s/p,s/p,s/p,s/p,s/p,11.6
2019,10,25 ,s/p,s/p,s/p,s/p,s/p,11.6
2019,10,26 ,s/p,s/p,s/p,s/p,s/p,11.6
2019,10,27 ,s/p,s/p,s/p,0.1,0.1,11.7
2019,10,28 ,0.1,s/p,0.4,0.1,0.6,12.3
2019,10,29 ,0.1,s/p,s/p,0.1,0.2,12.5
2019,10,30 ,s/p,s/p,s/p,s/p,s/p,12.5
2019,10,31 ,s/p,s/p,s/p,s/p,s/p,12.5
