Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2019,6,1 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,2 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,3 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,4 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,5 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,6 ,s/p,s/p,,,s/p,s/p
2019,6,7 ,s/p,s/p,,s/p,s/p,s/p
2019,6,8 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,9 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,10 ,s/p,s/p,s/p,s/p,s/p,s/p
2019,6,11 ,0.9,1.5,s/p,s/p,2.4,2.4
2019,6,12 ,s/p,6.1,22.0,1.5,29.6,32.0
2019,6,13 ,0.3,s/p,s/p,0.6,0.9,32.9
2019,6,14 ,s/p,s/p,s/p,s/p,s/p,32.9
2019,6,15 ,s/p,s/p,s/p,s/p,s/p,32.9
2019,6,16 ,s/p,s/p,s/p,s/p,s/p,32.9
2019,6,17 ,6.4,0.5,0.6,s/p,7.5,40.4
2019,6,18 ,s/p,s/p,s/p,s/p,s/p,40.4
2019,6,19 ,s/p,s/p,s/p,s/p,s/p,40.4
2019,6,20 ,s/p,s/p,s/p,s/p,s/p,40.4
2019,6,21 ,s/p,s/p,s/p,s/p,s/p,40.4
2019,6,22 ,s/p,s/p,s/p,s/p,s/p,40.4
2019,6,23 ,s/p,s/p,s/p,s/p,s/p,40.4
2019,6,24 ,s/p,6.6,0.2,s/p,6.8,47.2
2019,6,25 ,s/p,s/p,s/p,s/p,s/p,47.2
2019,6,26 ,s/p,s/p,s/p,s/p,s/p,47.2
2019,6,27 ,s/p,s/p,s/p,s/p,s/p,47.2
2019,6,28 ,s/p,s/p,6.3,4.0,10.3,57.5
2019,6,29 ,10.8,0.1,s/p,s/p,10.9,68.4
2019,6,30 ,s/p,s/p,s/p,s/p,s/p,68.4
