Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2018,6,1 ,,,,,s/p,s/p
2018,6,2 ,,,,,s/p,s/p
2018,6,3 ,,,,,s/p,s/p
2018,6,4 ,,,,,s/p,s/p
2018,6,5 ,,,,,12.0,12.0
2018,6,6 ,,,,,s/p,12.0
2018,6,7 ,,,,,6.5,18.5
2018,6,8 ,,,,,30.0,48.5
2018,6,9 ,,,,,57.5,106.0
2018,6,10 ,,,,,49.5,155.5
2018,6,11 ,,,,,9.0,164.5
2018,6,12 ,,,,,s/p,164.5
2018,6,13 ,,,,,s/p,164.5
2018,6,14 ,,,,,s/p,164.5
2018,6,15 ,,,,,s/p,164.5
2018,6,16 ,,,,,s/p,164.5
2018,6,17 ,,,,,s/p,164.5
2018,6,18 ,,,,,s/p,164.5
2018,6,19 ,,,,,s/p,164.5
2018,6,20 ,,,,,s/p,164.5
2018,6,21 ,,,,,s/p,164.5
2018,6,22 ,,,,,s/p,164.5
2018,6,23 ,,,,,s/p,164.5
2018,6,24 ,,,,,s/p,164.5
2018,6,25 ,,,,,s/p,164.5
2018,6,26 ,,,,,140.0,304.5
2018,6,27 ,,,,,11.5,316.0
2018,6,28 ,,,,,s/p,316.0
2018,6,29 ,,,,,s/p,316.0
2018,6,30 ,,,,,s/p,316.0
