Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2020,10,1 ,0.6,0.1,0.9,s/p,1.6,1.6
2020,10,2 ,s/p,s/p,s/p,s/p,s/p,1.6
2020,10,3 ,s/p,4.0,0.1,s/p,4.1,5.7
2020,10,4 ,s/p,s/p,s/p,s/p,s/p,5.7
2020,10,5 ,s/p,s/p,s/p,s/p,s/p,5.7
2020,10,6 ,1.1,s/p,s/p,2.5,3.6,9.3
2020,10,7 ,0.1,s/p,s/p,s/p,0.1,9.4
2020,10,8 ,s/p,s/p,s/p,0.1,0.1,9.5
2020,10,9 ,s/p,s/p,1.1,2.2,3.3,12.8
2020,10,10 ,0.3,s/p,s/p,s/p,0.3,13.1
2020,10,11 ,s/p,s/p,s/p,s/p,s/p,13.1
2020,10,12 ,s/p,s/p,s/p,s/p,s/p,13.1
2020,10,13 ,s/p,s/p,s/p,s/p,s/p,13.1
2020,10,14 ,s/p,s/p,s/p,s/p,s/p,13.1
2020,10,15 ,s/p,s/p,s/p,s/p,s/p,13.1
2020,10,16 ,s/p,s/p,s/p,s/p,s/p,13.1
2020,10,17 ,s/p,s/p,,s/p,s/p,13.1
2020,10,18 ,s/p,s/p,s/p,1.2,1.2,14.3
2020,10,19 ,s/p,s/p,s/p,s/p,s/p,14.3
2020,10,20 ,s/p,s/p,s/p,s/p,s/p,14.3
2020,10,21 ,s/p,s/p,s/p,s/p,s/p,14.3
2020,10,22 ,s/p,s/p,s/p,s/p,s/p,14.3
2020,10,23 ,s/p,s/p,s/p,4.9,4.9,19.2
2020,10,24 ,4.3,s/p,s/p,0.6,4.9,24.1
2020,10,25 ,s/p,s/p,s/p,s/p,s/p,24.1
2020,10,26 ,s/p,s/p,5.7,0.7,6.4,30.5
2020,10,27 ,0.3,0.9,4.9,0.4,6.5,37.0
2020,10,28 ,0.9,s/p,s/p,s/p,0.9,37.9
2020,10,29 ,s/p,s/p,s/p,s/p,s/p,37.9
2020,10,30 ,s/p,s/p,s/p,s/p,s/p,37.9
2020,10,31 ,s/p,s/p,s/p,s/p,s/p,37.9
