Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
2019,12,1 ,s/p,s/p,s/p,0.9,0.9,0.9
2019,12,2 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,3 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,4 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,5 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,6 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,7 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,8 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,9 ,s/p,s/p,s/p,s/p,s/p,0.9
2019,12,10 ,s/p,0.8,6.0,3.9,10.7,11.6
2019,12,11 ,0.4,0.4,s/p,s/p,0.8,12.4
2019,12,12 ,s/p,s/p,s/p,0.3,0.3,12.7
2019,12,13 ,s/p,s/p,s/p,s/p,s/p,12.7
2019,12,14 ,s/p,s/p,s/p,0.1,0.1,12.8
2019,12,15 ,s/p,s/p,s/p,s/p,s/p,12.8
2019,12,16 ,s/p,s/p,s/p,s/p,s/p,12.8
2019,12,17 ,s/p,1.4,9.7,1.7,12.8,25.6
2019,12,18 ,0.1,0.1,0.1,0.1,0.4,26.0
2019,12,19 ,s/p,s/p,s/p,s/p,s/p,26.0
2019,12,20 ,s/p,s/p,s/p,s/p,s/p,26.0
2019,12,21 ,s/p,s/p,s/p,s/p,s/p,26.0
2019,12,22 ,2.8,14.2,0.4,4.4,21.8,47.8
2019,12,23 ,s/p,0.3,0.4,s/p,0.7,48.5
2019,12,24 ,0.1,0.4,s/p,s/p,0.5,49.0
2019,12,25 ,s/p,s/p,s/p,0.1,0.1,49.1
2019,12,26 ,s/p,1.8,0.1,s/p,1.9,51.0
2019,12,27 ,s/p,1.9,s/p,s/p,1.9,52.9
2019,12,28 ,s/p,s/p,s/p,s/p,s/p,52.9
2019,12,29 ,s/p,s/p,s/p,s/p,s/p,52.9
2019,12,30 ,s/p,s/p,s/p,s/p,s/p,52.9
2019,12,31 ,s/p,s/p,s/p,s/p,s/p,52.9
